Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
104	LIONS	5x	10	27	4	6	23	0.4	0.14814814814814814	0.21621621621621623
104	LIONS	10x	11	27	4	7	23	0.3636363636363637	0.14814814814814814	0.21052631578947367
104	LIONS	25x	11	27	5	6	22	0.4545454545454546	0.18518518518518515	0.2631578947368421
104	LIONS	50x	14	27	6	8	21	0.42857142857142855	0.2222222222222222	0.2926829268292683
104	LIONS	100x	14	27	6	8	21	0.42857142857142855	0.2222222222222222	0.2926829268292683
104	Arriba	5x	18	114	4	14	110	0.2222222222222222	0.03508771929824561	0.06060606060606061
104	Arriba	10x	24	114	4	20	110	0.16666666666666666	0.03508771929824561	0.05797101449275362
104	Arriba	25x	41	114	7	34	107	0.17073170731707318	0.06140350877192982	0.09032258064516129
104	Arriba	50x	67	114	12	55	102	0.1791044776119403	0.10526315789473684	0.13259668508287292
104	Arriba	100x	88	114	14	74	100	0.1590909090909091	0.12280701754385964	0.13861386138613865
104	ChimeraTE	5x	8	114	5	3	109	0.625	0.04385964912280701	0.08196721311475409
104	ChimeraTE	10x	13	114	8	5	106	0.6153846153846154	0.07017543859649122	0.12598425196850394
104	ChimeraTE	25x	18	114	10	8	104	0.5555555555555556	0.08771929824561403	0.15151515151515152
104	ChimeraTE	50x	20	114	10	10	104	0.5	0.08771929824561403	0.14925373134328357
104	ChimeraTE	100x	24	114	11	13	103	0.4583333333333333	0.09649122807017543	0.15942028985507245
105	TEDDY	5x	74	139	73	1	66	0.9864864864864864	0.5251798561151079	0.6854460093896714
105	TEDDY	10x	91	139	91	0	48	1	0.6546762589928058	0.7913043478260869
105	TEDDY	25x	113	139	113	0	26	1	0.8129496402877698	0.8968253968253969
105	TEDDY	50x	127	139	126	1	13	0.9921259842519684	0.9064748201438848	0.9473684210526316
105	TEDDY	100x	133	139	132	1	7	0.9924812030075189	0.9496402877697842	0.9705882352941176
105	TEProf2	5x	17	30	6	11	24	0.35294117647058826	0.2	0.2553191489361702
105	TEProf2	10x	21	30	9	12	21	0.42857142857142855	0.3	0.35294117647058826
105	TEProf2	25x	23	30	11	12	19	0.4782608695652174	0.36666666666666664	0.41509433962264153
105	TEProf2	50x	25	30	12	13	18	0.48	0.4	0.43636363636363634
105	TEProf2	100x	24	30	12	12	18	0.5	0.4	0.4444444444444444
105	FREDY	5x	312	171	159	153	12	0.5096153846153846	0.9298245614035088	0.6583850931677019
105	FREDY	10x	313	171	160	153	11	0.5111821086261981	0.935672514619883	0.6611570247933884
105	FREDY	25x	313	171	160	153	11	0.5111821086261981	0.935672514619883	0.6611570247933884
105	FREDY	50x	315	171	162	153	9	0.5142857142857142	0.9473684210526316	0.6666666666666666
