depth	pred_gene	expressed_truth_gene	raw_truth_TE_gene	TP	FP	FN	precision	recall	F1	FP_in_raw_TE_truth	FP_not_in_raw_TE_truth	FN_median_max_TPM	FN_median_max_expected_count	FN_max_TPM	FN_max_expected_count
5x	4	133	271	3	1	130	0.7499999998125	0.022556390977274014	0.04379562043763653	0	1	89.34673788950785	83.8379451393574	505857.55686309	676020.826022711
10x	8	133	271	5	3	128	0.624999999921875	0.03759398496212336	0.07092198581509986	1	2	89.34673788950785	83.8379451393574	505857.55686309	676020.826022711
25x	14	133	271	9	5	124	0.6428571428112245	0.06766917293182204	0.12244897959100376	1	5	86.48306039304924	79.08351617954375	505857.55686309	676020.826022711
50x	19	133	271	11	8	122	0.5789473683905817	0.08270676691667138	0.14473684210431095	1	7	86.48306039304924	79.08351617954375	505857.55686309	676020.826022711
100x	24	133	271	16	8	117	0.6666666666388888	0.12030075187879474	0.2038216560496572	1	8	108.819744865426	106.766517716902	505857.55686309	676020.826022711
