depth	pred_gene	expressed_truth_gene	raw_truth_TE_gene	TP	FP	FN	precision	recall	F1	FP_in_raw_TE_truth	FP_not_in_raw_TE_truth	FN_median_max_TPM	FN_median_max_expected_count	FN_max_TPM	FN_max_expected_count
5x	8	133	271	5	3	128	0.625	0.03759398496240601	0.07092198581560283	2	1	89.34673788950785	79.08351617954375	505857.55686309	676020.826022711
10x	16	133	271	11	5	122	0.6875	0.08270676691729323	0.1476510067114094	3	2	89.1558260564106	83.8379451393574	505857.55686309	676020.826022711
25x	17	133	271	12	5	121	0.7058823529411765	0.09022556390977443	0.16	3	2	92.0195035528692	99.0985823426311	505857.55686309	676020.826022711
50x	17	133	271	12	5	121	0.7058823529411765	0.09022556390977443	0.16	3	2	92.0195035528692	99.0985823426311	505857.55686309	676020.826022711
100x	19	133	271	13	6	120	0.6842105263157895	0.09774436090225563	0.17105263157894735	3	3	98.5105058781751	102.93255002976656	505857.55686309	676020.826022711
