depth	pred_gene	expressed_truth_gene	raw_truth_TE_gene	TP	FP	FN	precision	recall	F1	FP_in_raw_TE_truth	FP_not_in_raw_TE_truth	FN_median_max_TPM	FN_median_max_expected_count	FN_max_TPM	FN_max_expected_count
5x	1	133	271	0	1	133	0	0	0	0	1	95.4559165486195	87.5383686850134	505857.55686309	676020.826022711
10x	1	133	271	0	1	133	0	0	0	0	1	95.4559165486195	87.5383686850134	505857.55686309	676020.826022711
25x	1	133	271	0	1	133	0	0	0	0	1	95.4559165486195	87.5383686850134	505857.55686309	676020.826022711
50x	3	133	271	0	3	133	0	0	0	0	3	95.4559165486195	87.5383686850134	505857.55686309	676020.826022711
100x	4	133	271	0	4	133	0	0	0	0	4	95.4559165486195	87.5383686850134	505857.55686309	676020.826022711
