depth	pred_gene	expressed_truth_gene_TEinitiated	TP	FP	FN	precision	recall	F1	FN_median_max_TPM	FN_median_max_expected_count	FN_max_TPM	FN_max_expected_count
5x	179	55	39	140	16	0.21787709497206703	0.7090909090909091	0.3333333333333333	28.25495129839135	19.1111599492705	348.223183569364	550.56607419113
10x	207	55	45	162	10	0.21739130434782608	0.8181818181818182	0.3435114503816794	28.25495129839135	27.358890273877748	348.223183569364	550.56607419113
25x	245	55	49	196	6	0.2	0.8909090909090909	0.3266666666666667	30.16406962936377	8.08567469286676	348.223183569364	550.56607419113
50x	262	55	50	212	5	0.19083969465648856	0.9090909090909091	0.31545741324921134	52.3098422686435	11.6930220187036	348.223183569364	550.56607419113
100x	274	55	51	223	4	0.18613138686131386	0.9272727272727272	0.3100303951367781	78.65567523606225	128.3936787228653	348.223183569364	550.56607419113
