depth	bam	chi_GTF_exons	chi_GTF_tx	chi_GTF_gene	expressed_truth_gene	raw_truth_TE_gene	TP	FP	FN	precision	recall	F1	FP_in_raw_TE_truth	FP_not_in_raw_TE_truth	FN_median_max_TPM	FN_median_max_expected_count	FN_max_TPM	FN_max_expected_count
5x	official_simulated_5x_noise0.1.bam	65	59	53	133	271	53	0	80	0.999999999981132	0.398496240598508	0.569892473115216	0	0	38.9460139518367	29.8447243344233	593.353977266219	1627.06208764687
10x	official_simulated_10x_noise0.1.bam	92	84	68	133	271	68	0	65	0.999999999985294	0.511278195484878	0.676616915419519	0	0	30.9277169617527	27.7556598512491	593.353977266219	1627.06208764687
25x	official_simulated_25x_noise0.1.bam	120	109	89	133	271	89	0	44	0.999999999988764	0.669172932325796	0.80180180179819	0	0	16.4184176463625	17.0323963916099	593.353977266219	1627.06208764687
50x	official_simulated_50x_noise0.1.bam	144	132	108	133	271	107	1	26	0.990740740731567	0.80451127818944	0.887966804975569	1	0	11.2637981527371	10.9487801503473	593.353977266219	1627.06208764687
100x	official_simulated_100x_noise0.1.bam	159	147	116	133	271	115	1	18	0.991379310336281	0.864661654128837	0.923694779112756	1	0	6.8728259915006	9.3293275035334	593.353977266219	1627.06208764687
