transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
MSTRG.14778.1	Ifng	multi_exon	13	34844	1	1	1	4713	Yes	520	Yes
MSTRG.119058.3	Slc9a9	multi_exon	1	7808	1	1	0.796545	2	Yes	0	-
MSTRG.100280.1	Tmtc1	multi_exon	2	6543	1	1	1	5498	Yes	1409	Yes
MSTRG.68916.4	Hnf4aos	multi_exon	31	112519	1	1	1	9119	Yes	595	Yes
MSTRG.20483.4	Brip1os	multi_exon	1	290	1	0.41063	0.305405	16	Yes	0	-
MSTRG.100329.11	Amn1	multi_exon	14	80491	1	1	1	9829	Yes	841	Yes
ENSMUST00000152079.1	Gm14929	multi_exon	1	915	1	1	0.922824	473	Yes	1	Yes
MSTRG.27299.21	Alkbh1	multi_exon	5	12840	1	1	1	6311	Yes	2336	Yes
MSTRG.89591.3	Slc10a6	multi_exon	14	48475	1	1	1	10896	Yes	392	Yes
MSTRG.4549.3	Pign	multi_exon	13	34611	1	1	1	3729	Yes	796	Yes
MSTRG.33879.1	5330416C01Rik	multi_exon	1	25572	1	0.695603	0.689284	218	Yes	0	-
MSTRG.64450.11	Csrnp3	multi_exon	2	638	1	1	0.998296	175	Yes	2	Yes
MSTRG.80434.15	Ttc39b	multi_exon	19	556661	1	1	1	82143	Yes	5621	Yes
MSTRG.125875.1	4933428M09Rik	multi_exon	1	567	1	1	0.999155	4	Yes	1	Yes
MSTRG.105712.3	Dnajb13	multi_exon	1	115	1	1	0.776824	4	Yes	0	-
MSTRG.35754.1	Duxbl2	multi_exon	5	739	1	1	1	208	Yes	103	Yes
MSTRG.37829.2	Fbxo16	multi_exon	14	377305	1	1	1	67652	Yes	4675	Yes
MSTRG.115122.2	Endod1	multi_exon	13	198867	1	1	1	39165	Yes	3996	Yes
MSTRG.123856.2	Gm14760	multi_exon	4	12153	1	1	0.847514	1698	Yes	0	-
MSTRG.36397.2	Gm25228	multi_exon	13	20441	1	1	1	4453	Yes	1087	Yes
MSTRG.81459.5	Gm12724	multi_exon	1	14588	1	1	0.828343	2	Yes	0	-
MSTRG.100854.2	Gm4011	multi_exon	17	240398	1	1	1	52042	Yes	18	Yes
MSTRG.81893.2	Gm12814	multi_exon	13	95594	1	1	1	16110	Yes	150	Yes
MSTRG.81459.9	Gm12724	multi_exon	13	41023	1	1	1	9590	Yes	1843	Yes
ENSMUST00000197277.1	RP23-465P18.1	multi_exon	8	7314	1	1	1	764	Yes	21	Yes
MSTRG.32223.4	Gm24193	multi_exon	10	11615	1	1	1	1882	Yes	727	Yes
MSTRG.21900.1	MSTRG.21900	single_exon	8	3324	1	1	1	444	Yes	16	Yes
MSTRG.19306.3	Pelp1	multi_exon	12	410	1	1	1	82	Yes	33	Yes
MSTRG.438.10	Prex2	multi_exon	17	457883	1	1	1	85114	Yes	2320	Yes
MSTRG.7859.4	Adss	multi_exon	2	3756	0.465753	1	0.913333	2	Yes	0	-
MSTRG.13588.1	Apaf1	multi_exon	6	1995	1	1	1	1274	Yes	779	Yes
ENSMUST00000200644.1	RP23-332O18.2	single_exon	14	11179	1	1	1	1793	Yes	12	Yes
MSTRG.96079.2	Gm5570	multi_exon	1	74	1	1	0.989209	1	Yes	1	Yes
MSTRG.109358.4	Nek5	single_exon	8	11199	1	1	1	155	Yes	1	Yes
MSTRG.112230.10	Lonp2	multi_exon	1	24595	1	1	0.713427	1	Yes	0	-
MSTRG.90670.3	C330018A13Rik	multi_exon	5	1072	1	1	0.763551	66	Yes	0	-
MSTRG.112230.12	Lonp2	multi_exon	10	44903	1	1	1	9630	Yes	3033	Yes
MSTRG.79343.1	MSTRG.79343	single_exon	18	1325	1	1	0.996454	122	Yes	2	Yes
MSTRG.91416.3	Tmem132c	multi_exon	17	69887	1	1	1	19	Yes	5	Yes
ENSMUST00000151575.6	Drr1	multi_exon	10	64386	1	1	1	19104	Yes	14479	Yes
MSTRG.112230.15	Lonp2	multi_exon	10	5650	1	1	1	65	Yes	35	Yes
MSTRG.95144.1	Sva	multi_exon	1	8465	1	1	0.753176	1	Yes	0	-
ENSMUST00000205198.1	RP24-328H10.1	multi_exon	22	945	1	1	1	238	Yes	63	Yes
MSTRG.95144.2	Sva	multi_exon	1	8471	1	1	0.787476	1	Yes	0	-
MSTRG.95144.3	Sva	multi_exon	10	25326	1	1	1	4193	Yes	1240	Yes
MSTRG.95144.4	Sva	multi_exon	10	25350	1	1	1	4193	Yes	1240	Yes
MSTRG.60862.7	Xpnpep1	multi_exon	16	9074	1	1	1	826	Yes	252	Yes
MSTRG.119853.1	Iqcf1	multi_exon	14	121391	1	1	1	14853	Yes	1125	Yes
MSTRG.60862.8	Xpnpep1	multi_exon	1	1128	1	1	1	158	Yes	2	Yes
MSTRG.95144.5	Sva	multi_exon	10	22621	1	1	1	4193	Yes	3205	Yes
MSTRG.16175.1	Sec61g	multi_exon	22	190863	1	1	1	26655	Yes	30	Yes
MSTRG.74217.2	Gm9121	multi_exon	1	2329	1	1	1	1094	Yes	236	Yes
MSTRG.116283.1	Olfr881	multi_exon	1	1300	1	0.686924	0.613426	211	Yes	0	-
MSTRG.16546.5	Ehbp1	multi_exon	13	161847	1	1	1	37652	Yes	3886	Yes
MSTRG.34782.1	Gm21762	multi_exon	1	12004	1	1	1	7594	Yes	185	Yes
MSTRG.3762.16	Cab39	multi_exon	1	1021	1	1	1	282	Yes	31	Yes
MSTRG.109294.1	Gm15292	single_exon	29	331333	1	1	0.878322	24428	Yes	0	-
MSTRG.86867.3	Nelfa	multi_exon	19	147639	1	1	1	1507	Yes	5	Yes
MSTRG.86867.4	Nelfa	multi_exon	52	951522	1	1	1	89533	Yes	3310	Yes
MSTRG.12195.6	Bicc1	multi_exon	54	24238	1	1	1	858	Yes	2	Yes
MSTRG.18596.18	Gm12619	multi_exon	5	240063	1	1	1	5155	Yes	120	Yes
MSTRG.86867.9	Nelfa	multi_exon	34	661621	1	1	1	87664	Yes	3313	Yes
MSTRG.78509.1	Akirin2	multi_exon	17	2453	1	1	1	430	Yes	93	Yes
ENSMUST00000204530.1	Gm8994	multi_exon	1	3386	1	1	1	510	Yes	191	Yes
MSTRG.66307.25	Aqr	multi_exon	1	14973	1	1	0.623294	1	Yes	0	-
ENSMUST00000148284.1	Gm14742	multi_exon	1	2422	1	1	1	885	Yes	28	Yes
MSTRG.124873.4	Atrx	multi_exon	5	4037	1	1	1	234	Yes	65	Yes
MSTRG.25294.1	Pnpla8	multi_exon	1	1072	1	0.23956	0.234661	73	Yes	0	-
ENSMUST00000075809.6	RP24-278I6.1	single_exon	1	2224	1	1	1	113	Yes	9	Yes
MSTRG.30407.8	Exoc2	multi_exon	1	752	1	1	1	654	Yes	33	Yes
MSTRG.65036.31	Cwc22	multi_exon	1	487	1	1	1	9	Yes	2	Yes
MSTRG.85805.1	Gm10354	multi_exon	2	3086	1	1	0.615616	179	Yes	0	-
ENSMUST00000204986.1	RP24-364D22.3	single_exon	2	21	1	0.910095	0.798064	5	Yes	0	-
MSTRG.65036.33	Cwc22	multi_exon	1	928	1	1	1	8	Yes	2	Yes
ENSMUST00000179905.1	AF067061	single_exon	3	12828	1	1	1	1482	Yes	73	Yes
MSTRG.76593.1	RP23-434M21.2	multi_exon	1	600	1	1	0.827206	3	Yes	0	-
ENSMUST00000155877.1	Atxn7l1os1	multi_exon	10	37534	1	1	1	10588	Yes	7624	Yes
MSTRG.3719.50	Gm16026	multi_exon	2	15520	1	1	1	2364	Yes	49	Yes
MSTRG.76593.2	RP23-434M21.2	multi_exon	1	986	1	0.807885	0.713432	3	Yes	0	-
MSTRG.85805.4	Gm10354	multi_exon	2	3402	1	1	0.837413	180	Yes	0	-
MSTRG.76593.3	RP23-434M21.2	multi_exon	1	600	1	1	0.827206	3	Yes	0	-
MSTRG.3719.11	A530040E14Rik	multi_exon	1	22542	1	1	0.99703	208	Yes	5	Yes
MSTRG.76593.4	RP23-434M21.2	multi_exon	1	668	1	1	0.64172	3	Yes	0	-
MSTRG.76593.5	RP23-434M21.2	multi_exon	1	76	1	1	0.603217	0	-	0	-
MSTRG.76593.6	RP23-434M21.2	multi_exon	1	605	1	1	0.604027	3	Yes	0	-
MSTRG.81459.12	Gm12724	multi_exon	13	34085	1	1	1	5650	Yes	1827	Yes
MSTRG.120236.5	2900079G21Rik	multi_exon	13	72444	1	1	1	11068	Yes	918	Yes
MSTRG.81459.15	Gm12724	multi_exon	30	9238	1	1	0.948653	577	Yes	2	Yes
MSTRG.81459.16	Gm12724	multi_exon	5	1191	1	1	1	518	Yes	281	Yes
MSTRG.33582.1	MSTRG.33582	single_exon	27	34284	1	1	1	3005	Yes	14	Yes
MSTRG.38313.1	Gm4285	single_exon	20	335657	1	1	1	50982	Yes	102	Yes
MSTRG.97279.8	Antxr1	multi_exon	1	15390	1	1	0.813953	4	Yes	0	-
MSTRG.5660.5	Chit1	multi_exon	16	179225	1	1	1	37535	Yes	5326	Yes
MSTRG.20641.3	Dynll2	multi_exon	7	5924	1	1	1	817	Yes	752	Yes
MSTRG.36540.5	Gm25353	multi_exon	8	7011	1	1	1	274	Yes	52	Yes
MSTRG.47742.6	Robo1	multi_exon	13	594203	1	1	1	130711	Yes	1328	Yes
MSTRG.66231.29	Katnbl1	multi_exon	5	11561	1	1	1	2842	Yes	661	Yes
MSTRG.74202.1	Gm9113	multi_exon	2	7017	1	1	1	721	Yes	71	Yes
MSTRG.65361.1	Pramel7	multi_exon	8	1706	1	1	1	383	Yes	39	Yes
MSTRG.6096.11	Gm5837	multi_exon	4	90280	1	1	1	17	Yes	2	Yes
MSTRG.103156.1	Klk1b24	multi_exon	19	238761	1	1	1	33461	Yes	2872	Yes
MSTRG.6096.14	Gm5837	multi_exon	13	481204	1	1	1	69949	Yes	2820	Yes
MSTRG.126512.2	Samt2	multi_exon	19	65124	1	1	1	15104	Yes	335	Yes
MSTRG.360.14	Sgk3	multi_exon	11	4147	1	1	1	399	Yes	9	Yes
MSTRG.100894.1	MSTRG.100894	multi_exon	12	164485	1	1	0.995652	186	Yes	5	Yes
MSTRG.65229.3	Fam171b	multi_exon	37	608431	1	1	1	51661	Yes	148	Yes
MSTRG.65361.7	Pramel7	multi_exon	5	959	1	1	1	246	Yes	24	Yes
MSTRG.45103.12	Ciita	multi_exon	8	264	1	1	1	50	Yes	29	Yes
MSTRG.60463.1	Scd3	multi_exon	14	117296	1	1	1	17289	Yes	1589	Yes
MSTRG.16878.1	Gm12079	multi_exon	2	11375	1	1	0.814202	25	Yes	0	-
MSTRG.60463.9	Scd3	multi_exon	17	147795	1	1	1	21805	Yes	3088	Yes
MSTRG.36418.1	Gm8104	single_exon	26	67591	1	1	1	7204	Yes	2569	Yes
MSTRG.76984.1	RP24-267D17.2	multi_exon	1	311	1	1	1	101	Yes	4	Yes
ENSMUST00000051310.11	Ddhd1	multi_exon	21	5137	1	1	0.602076	5	Yes	0	-
MSTRG.104455.1	Gm23020	multi_exon	47	324335	1	1	1	692	Yes	107	Yes
MSTRG.104455.2	Gm23020	multi_exon	16	7035	1	1	1	561	Yes	90	Yes
ENSMUST00000191895.1	Gm37912	single_exon	9	4827	1	1	1	156	Yes	6	Yes
MSTRG.80180.5	Gm13867	multi_exon	28	868755	1	1	1	112407	Yes	174	Yes
ENSMUST00000180653.2	Platr31	multi_exon	1	3013	1	1	1	222	Yes	188	Yes
MSTRG.62246.2	Malrd1	multi_exon	5	722	1	1	1	267	Yes	82	Yes
MSTRG.29675.4	Yae1d1	multi_exon	1	15855	1	1	0.772388	1	Yes	0	-
MSTRG.99694.1	Gm8994	multi_exon	1	3386	1	1	1	510	Yes	191	Yes
MSTRG.1992.1	Gm28826	multi_exon	4	4648	1	1	1	134	Yes	8	Yes
MSTRG.2509.19	Trak2	multi_exon	14	224244	1	1	1	44228	Yes	1642	Yes
MSTRG.1992.2	Gm28826	multi_exon	4	5045	1	1	1	481	Yes	16	Yes
MSTRG.1335.1	AC107766.1	multi_exon	34	77495	1	1	0.782918	2237	Yes	0	-
MSTRG.115291.1	Ubtfl1	multi_exon	4	3763	1	1	1	570	Yes	18	Yes
MSTRG.101170.1	Gtpbp4-ps6	multi_exon	11	52316	1	1	1	4531	Yes	1251	Yes
MSTRG.66276.1	Gm13964	multi_exon	13	534241	1	1	1	33771	Yes	2120	Yes
MSTRG.86703.16	Nrbp1	multi_exon	2	1595	1	1	1	20	Yes	2	Yes
MSTRG.66276.5	Gm13964	multi_exon	13	530789	1	1	1	32942	Yes	2108	Yes
MSTRG.115290.12	Naalad2	multi_exon	1	816	1	1	1	431	Yes	199	Yes
MSTRG.64660.14	Dcaf17	multi_exon	21	7518	1	1	1	762	Yes	48	Yes
MSTRG.104465.1	Fam174b	multi_exon	11	1249	1	1	1	327	Yes	125	Yes
MSTRG.73230.5	Gm17895	multi_exon	8	4103	1	1	1	300	Yes	185	Yes
ENSMUST00000204022.1	RP23-265P8.3	multi_exon	4	630	1	1	1	14	Yes	2	Yes
MSTRG.36399.1	Gm23620	multi_exon	1	5880	1	1	0.809078	35	Yes	0	-
MSTRG.36399.2	Gm23620	multi_exon	1	5868	1	0.776449	0.564171	35	Yes	0	-
MSTRG.43215.21	Arhgap8	multi_exon	11	16955	1	1	1	1470	Yes	560	Yes
MSTRG.34957.2	Rpp14	multi_exon	17	312706	1	1	1	55018	Yes	115	Yes
MSTRG.121674.2	Drr1	multi_exon	7	42055	1	1	1	240	Yes	104	Yes
MSTRG.121674.3	Drr1	multi_exon	7	11150	1	1	1	189	Yes	99	Yes
MSTRG.120796.5	9530059O14Rik	multi_exon	13	214783	1	1	1	41107	Yes	2246	Yes
MSTRG.53300.5	Camkmt	multi_exon	14	282267	1	1	1	59595	Yes	1236	Yes
MSTRG.127180.1	Usp9y	multi_exon	1	325	1	1	0.760155	51	Yes	0	-
MSTRG.125510.1	Gm26475	multi_exon	26	161704	1	1	1	21267	Yes	738	Yes
MSTRG.27018.11	Rbm25	multi_exon	1	1440	1	1	1	12	Yes	5	Yes
MSTRG.67466.1	Lrrn4	multi_exon	16	156224	1	1	1	21554	Yes	2701	Yes
MSTRG.812.5	Il17f	multi_exon	1	477	1	1	1	254	Yes	28	Yes
MSTRG.60562.1	Tlx1	multi_exon	44	125062	1	1	1	14472	Yes	23	Yes
MSTRG.27018.16	Rbm25	multi_exon	1	1687	1	1	0.664706	12	Yes	0	-
MSTRG.27018.18	Rbm25	multi_exon	10	21719	1	1	1	5178	Yes	3067	Yes
MSTRG.81711.2	Zcchc11	multi_exon	1	430	1	1	0.996923	47	Yes	3	Yes
MSTRG.15985.2	Eif3s6-ps1	multi_exon	32	108395	1	1	1	12747	Yes	2	Yes
MSTRG.67437.10	AU019990	multi_exon	1	1239	1	1	1	510	Yes	12	Yes
MSTRG.48962.16	Sft2d1	multi_exon	1	6993	1	1	0.579108	2	Yes	0	-
MSTRG.17649.1	Gm12183	multi_exon	5	16800	1	1	1	728	Yes	7	Yes
MSTRG.85850.1	Speer4cos	multi_exon	14	15930	1	1	1	2992	Yes	284	Yes
MSTRG.48962.17	Sft2d1	multi_exon	7	8993	1	1	1	4113	Yes	3557	Yes
MSTRG.52615.1	2410021H03Rik	multi_exon	1	506	1	1	1	435	Yes	288	Yes
MSTRG.67437.12	AU019990	multi_exon	5	5423	1	1	1	721	Yes	56	Yes
MSTRG.122727.1	Usp26	multi_exon	1	474	1	1	1	24	Yes	24	Yes
MSTRG.5380.2	Dyrk3	multi_exon	28	7631	1	1	1	935	Yes	160	Yes
ENSMUST00000164517.2	Gm21319	multi_exon	5	28992	1	1	1	8399	Yes	4040	Yes
MSTRG.65036.4	Cwc22	multi_exon	2	631	1	1	1	24	Yes	3	Yes
MSTRG.115602.7	Zfp809	multi_exon	26	22790	1	1	1	780	Yes	57	Yes
ENSMUST00000203850.1	Ccser1	multi_exon	1	6577	1	1	1	1426	Yes	1314	Yes
MSTRG.26387.3	Mnat1	multi_exon	10	73978	1	1	1	25288	Yes	8296	Yes
MSTRG.33678.1	Scamp1	multi_exon	17	321723	1	1	1	51462	Yes	4567	Yes
MSTRG.33678.2	Scamp1	multi_exon	5	59419	1	1	1	60	Yes	5	Yes
ENSMUST00000204151.1	RP24-108G5.5	single_exon	4	415	1	1	1	112	Yes	48	Yes
ENSMUST00000107130.3	Zfp353-ps	single_exon	1	1985	1	1	1	564	Yes	115	Yes
MSTRG.82240.9	Tie1	multi_exon	13	549937	1	1	1	125013	Yes	4571	Yes
MSTRG.34784.1	MSTRG.34784	single_exon	5	24018	1	1	1	2051	Yes	43	Yes
MSTRG.97159.10	Cml2	multi_exon	4	94603	1	1	0.951278	40730	Yes	12	Yes
MSTRG.40632.3	Ctnnd2	single_exon	11	267401	1	1	0.612255	63354	Yes	0	-
MSTRG.11011.2	Popdc3	multi_exon	1	1202	1	1	0.935872	122	Yes	2	Yes
MSTRG.92455.2	RP23-462C22.2	multi_exon	13	75083	1	1	1	10284	Yes	1505	Yes
MSTRG.101823.2	Ceacam1	multi_exon	20	354002	1	1	1	49934	Yes	1662	Yes
MSTRG.11011.3	Popdc3	multi_exon	1	1229	1	1	1	126	Yes	40	Yes
MSTRG.22515.1	Grb2	multi_exon	8	946	1	1	0.990689	40	Yes	9	Yes
MSTRG.49285.2	Wdr27	multi_exon	16	72	0	1	0.488722	0	-	0	-
MSTRG.58857.1	Gm26993	multi_exon	1	676	1	1	0.714286	29	Yes	0	-
ENSMUST00000159517.1	Gm4778	multi_exon	1	2370	1	1	1	451	Yes	20	Yes
MSTRG.713.1	Gm28376	multi_exon	10	66163	1	1	1	24608	Yes	16926	Yes
MSTRG.713.3	Gm28376	multi_exon	10	60221	1	1	1	24833	Yes	21753	Yes
MSTRG.95567.1	RP23-198D7.5	multi_exon	1	6847	1	1	1	2118	Yes	78	Yes
MSTRG.713.4	Gm28376	multi_exon	10	56694	1	1	1	24515	Yes	21764	Yes
MSTRG.22515.7	Grb2	multi_exon	54	15615	1	1	1	1237	Yes	78	Yes
MSTRG.713.6	Gm28376	multi_exon	1	5317	1	1	1	159	Yes	137	Yes
MSTRG.74195.1	Tdpoz3	multi_exon	4	3544	1	1	0.99511	232	Yes	3	Yes
MSTRG.65234.2	Zswim2	multi_exon	10	85714	1	1	1	30533	Yes	20407	Yes
MSTRG.74195.2	Tdpoz3	multi_exon	13	7984	1	1	1	1471	Yes	199	Yes
MSTRG.76476.5	Dnajb14	multi_exon	1	1319	1	1	1	538	Yes	14	Yes
MSTRG.84479.5	Pramef17	multi_exon	14	70773	1	1	1	12913	Yes	1305	Yes
MSTRG.65234.9	Zswim2	multi_exon	17	51691	1	1	1	640	Yes	6	Yes
MSTRG.87826.5	0610040J01Rik	multi_exon	10	47816	1	1	1	2874	Yes	1215	Yes
MSTRG.60765.3	Obfc1	multi_exon	4	29809	1	1	0.902115	13603	Yes	2	Yes
MSTRG.7750.1	Exo1	multi_exon	13	405508	1	1	1	90450	Yes	8795	Yes
MSTRG.120781.2	Ano10	multi_exon	2	20075	1	1	0.988318	2	Yes	0	-
MSTRG.27354.1	Gm5662	multi_exon	5	47753	1	1	1	23414	Yes	12552	Yes
MSTRG.51044.1	Gm20451	single_exon	52	3190055	1	1	0.871143	187282	Yes	0	-
MSTRG.27354.3	Gm8332	multi_exon	5	53671	1	1	1	15091	Yes	11335	Yes
MSTRG.21853.1	Kansl1	multi_exon	21	6128	1	1	1	33	Yes	2	Yes
MSTRG.27354.6	Gm5662	multi_exon	5	28121	1	1	1	14904	Yes	11434	Yes
MSTRG.124337.1	Gm9043	multi_exon	1	1543	1	1	1	462	Yes	41	Yes
MSTRG.124337.2	Gm9043	multi_exon	2	2679	1	1	1	587	Yes	40	Yes
MSTRG.76332.2	Tacr3	multi_exon	4	1807	1	1	0.970183	136	Yes	0	-
MSTRG.49587.11	Zfp51	multi_exon	1	1172	1	1	0.741379	5	Yes	0	-
MSTRG.121829.1	Chst7	multi_exon	13	262337	1	1	1	66639	Yes	9940	Yes
ENSMUST00000075953.1	Tdpoz4	single_exon	5	3203	1	1	0.962521	51	Yes	0	-
MSTRG.17703.8	Cnot6	multi_exon	12	1929	1	1	1	446	Yes	122	Yes
MSTRG.67521.15	Plcb1	multi_exon	1	3285	1	1	0.738434	24	Yes	0	-
MSTRG.88063.1	Gm23841	multi_exon	8	16973	1	1	1	85	Yes	54	Yes
ENSMUST00000116784.1	Gm23177	single_exon	2	710	1	1	0.863741	30	Yes	0	-
MSTRG.59287.1	Gm21542	multi_exon	8	4431	1	1	1	1059	Yes	208	Yes
MSTRG.59287.4	Gm21542	multi_exon	9	2889	1	1	1	187	Yes	28	Yes
ENSMUST00000192611.1	Sccpdh	single_exon	8	7268	1	1	1	1130	Yes	360	Yes
MSTRG.75647.1	MSTRG.75647	single_exon	8	4365	1	1	1	135	Yes	6	Yes
MSTRG.64591.18	Ppig	multi_exon	5	5439	1	1	1	384	Yes	22	Yes
MSTRG.27306.1	Gm8300	multi_exon	26	267668	1	1	1	30443	Yes	108	Yes
MSTRG.27306.2	Gm8300	multi_exon	5	66613	1	1	1	28824	Yes	15462	Yes
MSTRG.97279.15	Antxr1	multi_exon	10	51228	1	1	1	15068	Yes	11323	Yes
MSTRG.62444.3	Gm13335	multi_exon	1	34689	1	0.651842	0.594675	566	Yes	0	-
MSTRG.17136.1	Gm12114	multi_exon	17	245622	1	1	1	43854	Yes	1979	Yes
MSTRG.62444.6	Gm13335	multi_exon	1	27997	1	0.768755	0.688475	5	Yes	0	-
MSTRG.24729.2	Tpo	multi_exon	23	57850	1	1	1	6454	Yes	68	Yes
MSTRG.16783.12	5730522E02Rik	multi_exon	1	4571	1	0.393391	0.368324	0	-	0	-
MSTRG.96430.5	Igkv1-117	multi_exon	6	11786	1	1	1	301	Yes	6	Yes
MSTRG.75657.2	Gm26137	multi_exon	1	839	1	1	0.723716	2	Yes	0	-
ENSMUST00000197021.1	Ankrd17	multi_exon	3	521	1	1	1	58	Yes	15	Yes
MSTRG.14730.2	Slc35e3	multi_exon	44	64426	1	1	1	7767	Yes	1248	Yes
MSTRG.33975.1	Map1b	multi_exon	5	163	1	1	1	8	Yes	3	Yes
MSTRG.33975.4	Map1b	multi_exon	19	90576	1	1	0.994781	6503	Yes	1	Yes
MSTRG.95785.1	MSTRG.95785	single_exon	5	1164	1	1	0.616248	116	Yes	0	-
MSTRG.79162.1	Gm12408	single_exon	128	2120317	1	1	1	66953	Yes	19	Yes
MSTRG.97449.1	Gm6507	multi_exon	2	4424	1	1	0.849348	16	Yes	0	-
MSTRG.66307.8	Aqr	multi_exon	4	63658	1	1	0.919757	28590	Yes	0	-
MSTRG.66270.11	Fmn1	multi_exon	21	698482	1	1	0.987835	33675	Yes	4	Yes
MSTRG.119466.3	Gm16004	multi_exon	30	151554	1	1	1	1744	Yes	48	Yes
MSTRG.109330.1	AY761184	multi_exon	2	567	1	1	1	19	Yes	12	Yes
MSTRG.108224.9	Dhcr7	multi_exon	1	1029	1	1	1	26	Yes	1	Yes
MSTRG.63507.1	Traf1	multi_exon	16	1883	1	1	0.969072	66	Yes	3	Yes
MSTRG.63507.3	Traf1	multi_exon	26	4022	1	1	1	347	Yes	5	Yes
MSTRG.53771.1	Gm20939	multi_exon	1	493	1	1	0.740816	14	Yes	0	-
ENSMUST00000199819.1	RP24-411A22.2	multi_exon	2	3126	1	1	1	907	Yes	3	Yes
MSTRG.49587.1	Zfp51	multi_exon	7	3654	1	1	1	30	Yes	5	Yes
ENSMUST00000119613.1	Gm5939	single_exon	1	2415	1	0.874782	0.8433	185	Yes	1	Yes
MSTRG.11170.7	Ros1	multi_exon	11	3611	1	1	1	908	Yes	187	Yes
MSTRG.16672.3	1700093K21Rik	multi_exon	26	13768	1	1	1	920	Yes	58	Yes
MSTRG.49587.9	Zfp51	multi_exon	1	1360	1	1	0.759162	4	Yes	0	-
MSTRG.55006.3	Gm16344	multi_exon	1	1803	1	1	0.812645	164	Yes	0	-
MSTRG.68147.18	Csnk2a1	multi_exon	13	213268	1	1	1	44080	Yes	1166	Yes
MSTRG.45230.1	Ercc4	multi_exon	7	620691	1	1	1	316402	Yes	370	Yes
MSTRG.84444.5	BC080695	multi_exon	1	1062	1	1	1	13	Yes	7	Yes
MSTRG.45230.3	Ercc4	multi_exon	10	86598	1	1	1	21539	Yes	6873	Yes
MSTRG.116579.1	Cbl	multi_exon	10	53616	1	1	1	105	Yes	27	Yes
MSTRG.84444.8	Gm13040	multi_exon	1	2560	1	1	1	564	Yes	38	Yes
MSTRG.125049.1	Gm14886	multi_exon	4	149	1	1	1	15	Yes	4	Yes
MSTRG.118677.1	Rps27a-ps2	multi_exon	7	11573	1	1	0.903919	18	Yes	1	Yes
MSTRG.77272.3	RP24-411A22.2	multi_exon	2	2645	1	1	1	907	Yes	26	Yes
MSTRG.60774.18	Cfap43	multi_exon	14	22	0.0985915	1	0.62234	0	-	0	-
MSTRG.122244.5	Gm14552	multi_exon	1	4957	1	1	1	116	Yes	4	Yes
MSTRG.109327.2	Defa26	single_exon	29	413907	1	1	0.865471	27899	Yes	0	-
MSTRG.15655.4	Thoc5	multi_exon	1	592	1	1	1	261	Yes	11	Yes
ENSMUST00000101168.3	Gm5662	multi_exon	5	52813	1	1	1	23418	Yes	12372	Yes
MSTRG.19794.4	Cpd	multi_exon	13	85765	1	1	1	28579	Yes	11477	Yes
MSTRG.74432.1	Bola1	multi_exon	4	67647	1	1	1	134	Yes	68	Yes
MSTRG.57302.6	Pias2	multi_exon	1	596	1	1	0.702768	8	Yes	0	-
MSTRG.80114.5	Gm11232	multi_exon	13	148966	1	1	1	27461	Yes	417	Yes
MSTRG.105895.1	Usp17ld	multi_exon	9	9878	1	1	1	1320	Yes	76	Yes
MSTRG.97159.3	Cml2	multi_exon	13	147789	1	1	1	37969	Yes	14818	Yes
MSTRG.105895.2	Usp17ld	multi_exon	5	6053	1	1	1	618	Yes	249	Yes
MSTRG.33091.2	Arsk	multi_exon	22	1119024	1	1	1	179223	Yes	4904	Yes
MSTRG.97159.7	Cml2	multi_exon	23	208168	1	1	1	38995	Yes	14837	Yes
MSTRG.105895.6	Gm25171	multi_exon	13	50548	1	1	1	4783	Yes	1347	Yes
ENSMUST00000159524.1	Gm5286	multi_exon	1	6261	1	1	1	1260	Yes	123	Yes
MSTRG.2004.1	Gm22419	multi_exon	1	656	1	1	0.90201	8	Yes	0	-
ENSMUST00000098878.3	Gm4778	single_exon	2	3250	1	1	1	1659	Yes	657	Yes
MSTRG.77361.1	Gm11784	multi_exon	26	72292	1	0.880927	0.88097	3673	Yes	13	Yes
MSTRG.85809.1	MSTRG.85809	multi_exon	1	5430	1	0.256174	0.255591	51	Yes	0	-
MSTRG.77361.4	Gm11784	multi_exon	14	16895	1	1	1	2454	Yes	522	Yes
MSTRG.81289.12	Gm12790	multi_exon	4	139839	1	1	1	41	Yes	22	Yes
ENSMUST00000107129.1	Zfp352	multi_exon	1	6441	1	1	1	1078	Yes	178	Yes
ENSMUST00000197774.1	RP23-434M21.2	multi_exon	1	319	1	1	0.715421	10	Yes	0	-
MSTRG.21899.10	Tlk2	multi_exon	4	719	1	1	1	232	Yes	168	Yes
MSTRG.86435.1	Rbm33	multi_exon	1	394	1	1	1	130	Yes	2	Yes
MSTRG.6376.2	1700025G04Rik	multi_exon	3	664	1	1	1	268	Yes	149	Yes
MSTRG.647.28	Ube2w	multi_exon	16	70089	1	1	1	7994	Yes	387	Yes
MSTRG.112202.4	Neto2	multi_exon	41	13978	1	1	0.923492	83	Yes	2	Yes
MSTRG.56182.1	Csnk1g3	multi_exon	13	324395	1	1	1	68518	Yes	8895	Yes
