transcript_id	gene_name	eval_type	n_pairs	n_reads_any	max_TE_cov_frac	max_host_cov_frac	max_pair_cov_frac	n_TE_host_junction_reads_10bp	TE_host_junction_support_10bp	n_TE_host_anchor75_reads	TE_host_anchor75_support
MSTRG.103345.17	0610005C13Rik	multi_exon	10	10981	1	1	1	366	Yes	170	Yes
MSTRG.74179.1	Gm5541	multi_exon	1	1316	1	1	1	613	Yes	1	Yes
MSTRG.64660.1	Dcaf17	multi_exon	1	104	1	1	1	4	Yes	2	Yes
MSTRG.1974.12	Dnah7b	multi_exon	1	73	0.312741	1	0.264205	0	-	0	-
MSTRG.28622.6	Cep170b	multi_exon	2	24	1	1	0.996324	2	Yes	2	Yes
MSTRG.90671.3	Ccdc60	multi_exon	5	84090	1	1	1	293	Yes	30	Yes
ENSMUST00000138751.1	AU019990	multi_exon	1	1238	1	1	1	511	Yes	35	Yes
MSTRG.59912.2	Ankrd22	multi_exon	10	48697	1	1	1	15102	Yes	12043	Yes
MSTRG.90671.9	Ccdc60	multi_exon	5	6871	1	1	0.969512	614	Yes	3	Yes
MSTRG.93349.1	RP24-211L21.3	multi_exon	13	104427	1	1	1	15461	Yes	419	Yes
ENSMUST00000106919.6	B020004J07Rik	multi_exon	1	1546	1	1	1	296	Yes	3	Yes
MSTRG.93349.2	RP24-211L21.3	multi_exon	23	147933	1	1	1	15746	Yes	46	Yes
MSTRG.124873.27	Atrx	multi_exon	5	4037	1	1	1	234	Yes	65	Yes
MSTRG.59912.6	Ankrd22	multi_exon	4	241441	1	1	1	107364	Yes	42	Yes
MSTRG.59912.7	Ankrd22	multi_exon	19	8222	1	1	1	199	Yes	6	Yes
ENSMUST00000195698.1	Gm38049	single_exon	16	182931	1	1	1	32482	Yes	21	Yes
MSTRG.27018.8	Rbm25	multi_exon	4	36014	1	1	1	30	Yes	6	Yes
MSTRG.121985.2	Ppp1r2-ps7	multi_exon	13	146098	1	1	1	29429	Yes	1016	Yes
MSTRG.72777.11	Arhgef26	multi_exon	16	195203	1	1	1	36944	Yes	6512	Yes
MSTRG.27343.1	Gm2035	multi_exon	5	32623	1	1	1	13536	Yes	5608	Yes
MSTRG.72777.12	Arhgef26	multi_exon	17	199262	1	1	1	36992	Yes	54	Yes
MSTRG.72777.13	Arhgef26	multi_exon	16	195191	1	1	1	36944	Yes	6512	Yes
MSTRG.58371.1	Pla2g16	multi_exon	1	715	1	1	0.997807	188	Yes	8	Yes
MSTRG.6096.9	Gm16332	multi_exon	2	1209	1	1	0.991582	75	Yes	2	Yes
MSTRG.712.1	MSTRG.712	single_exon	3	62876	1	1	1	27955	Yes	45	Yes
MSTRG.2948.11	Spag16	multi_exon	1	2654	1	1	0.998214	102	Yes	3	Yes
MSTRG.120290.1	4921528I07Rik	multi_exon	2	41	1	1	1	12	Yes	11	Yes
MSTRG.84478.1	Gm13119	multi_exon	20	2861	1	1	1	223	Yes	6	Yes
MSTRG.16220.1	C1d	multi_exon	1	2349	1	1	1	1415	Yes	51	Yes
MSTRG.51637.1	1700067P10Rik	multi_exon	8	619	1	1	1	120	Yes	102	Yes
MSTRG.76046.1	Rpl7a-ps7	multi_exon	17	74140	1	1	1	9759	Yes	2545	Yes
MSTRG.97349.1	Gm5577	multi_exon	1	5276	1	0.840359	0.653412	0	-	0	-
MSTRG.97349.2	Gm5577	multi_exon	10	30760	1	1	1	2508	Yes	729	Yes
MSTRG.117662.1	Fem1b	multi_exon	5	128571	1	1	1	43820	Yes	9	Yes
MSTRG.106603.8	Syt17	multi_exon	18	2677	1	1	1	703	Yes	175	Yes
MSTRG.117662.4	Gm10653	multi_exon	2	52519	1	1	1	1350	Yes	3	Yes
MSTRG.105171.1	Fzd4	multi_exon	10	53966	1	1	1	16404	Yes	5234	Yes
MSTRG.117662.8	Gm10653	multi_exon	2	51216	1	1	1	1305	Yes	5	Yes
MSTRG.21389.1	Gm11560	multi_exon	4	24839	1	1	1	130	Yes	6	Yes
MSTRG.109344.1	Fam90a1a	multi_exon	1	587	1	1	0.753176	3	Yes	0	-
ENSMUST00000164838.2	Gm4027	multi_exon	5	132451	1	1	1	85409	Yes	43996	Yes
ENSMUST00000141391.1	Gm11281	single_exon	1	590	1	1	0.991776	138	Yes	3	Yes
MSTRG.3677.7	Dner	multi_exon	13	131874	1	1	1	16129	Yes	2465	Yes
ENSMUST00000190512.1	Tcstv1	multi_exon	1	7229	1	1	1	2459	Yes	1573	Yes
ENSMUST00000120122.6	Cul5	multi_exon	4	4894	1	1	1	1060	Yes	211	Yes
MSTRG.1133.6	Gm9458	multi_exon	1	575	1	1	1	140	Yes	99	Yes
MSTRG.109121.7	Csmd1	multi_exon	10	51328	1	1	1	7088	Yes	2015	Yes
MSTRG.109121.9	Csmd1	multi_exon	2	6270	1	1	1	40	Yes	25	Yes
MSTRG.102896.1	Gm5590	multi_exon	17	12338	1	1	1	765	Yes	12	Yes
ENSMUST00000195797.1	D13Ertd608e	multi_exon	1	10063	1	1	1	7057	Yes	4921	Yes
MSTRG.66188.1	Gm13962	multi_exon	13	200560	1	1	1	33457	Yes	1589	Yes
MSTRG.66188.2	Gm13962	multi_exon	13	199669	1	1	1	33273	Yes	1579	Yes
MSTRG.74357.1	Hmgb1-ps5	multi_exon	13	67421	1	1	1	10190	Yes	16	Yes
MSTRG.97062.7	Zfp638	multi_exon	1	1657	1	1	0.925382	8	Yes	0	-
MSTRG.114507.2	2810004N23Rik	multi_exon	19	234671	1	1	1	37370	Yes	4544	Yes
MSTRG.1276.21	Dst	multi_exon	1	3436	1	1	0.867804	0	-	0	-
MSTRG.1276.25	Dst	multi_exon	10	32262	1	1	1	2024	Yes	523	Yes
MSTRG.35051.17	Ptprg	multi_exon	8	1523	1	1	1	49	Yes	43	Yes
MSTRG.21816.23	Nsf	multi_exon	3	1059	1	1	1	113	Yes	50	Yes
MSTRG.36540.16	Gm25353	multi_exon	1	1213	1	0.373023	0.368546	176	Yes	0	-
MSTRG.122652.1	Rbmx2	multi_exon	1	614	1	1	1	226	Yes	11	Yes
MSTRG.6422.3	Colgalt2	multi_exon	13	76854	1	1	1	12701	Yes	851	Yes
ENSMUST00000181983.6	Rbm25	multi_exon	1	1492	1	1	1	609	Yes	503	Yes
MSTRG.15441.4	Olfr787	multi_exon	1	1443	1	0.655977	0.635593	264	Yes	0	-
ENSMUST00000193748.1	Gm37260	single_exon	7	626	1	1	0.898127	151	Yes	0	-
MSTRG.3090.12	Gm29183	multi_exon	2	119	1	1	1	37	Yes	30	Yes
MSTRG.109889.1	Gm5117	multi_exon	1	7064	1	1	1	1440	Yes	7	Yes
MSTRG.3090.14	Gm29183	multi_exon	13	58698	1	1	1	9585	Yes	1147	Yes
MSTRG.33174.1	Fam172a	multi_exon	25	1234098	1	1	1	185863	Yes	13	Yes
MSTRG.3090.15	Gm29183	multi_exon	13	58464	1	1	1	9589	Yes	1150	Yes
MSTRG.60765.10	Obfc1	multi_exon	7	5784	1	1	1	2664	Yes	2446	Yes
MSTRG.21921.15	Tanc2	single_exon	68	361681	1	1	1	10633	Yes	3	Yes
MSTRG.26391.1	Slc38a6	single_exon	5	4862	1	1	1	1486	Yes	48	Yes
MSTRG.98930.10	Rimklb	multi_exon	1	1722	1	1	1	670	Yes	314	Yes
MSTRG.21899.3	Tlk2	multi_exon	14	1906	1	1	1	265	Yes	36	Yes
MSTRG.98930.11	Rimklb	multi_exon	1	1722	1	1	1	670	Yes	314	Yes
MSTRG.84444.17	Gm13040	multi_exon	1	2559	1	1	1	564	Yes	499	Yes
MSTRG.21899.5	Tlk2	multi_exon	22	7418	1	1	1	943	Yes	56	Yes
MSTRG.28860.1	Cdca7l	multi_exon	1	5175	1	1	1	15	Yes	7	Yes
MSTRG.120638.1	Myrip	multi_exon	13	101494	1	1	1	17899	Yes	2850	Yes
MSTRG.54871.1	Gm23606	multi_exon	17	89183	1	1	1	13211	Yes	399	Yes
MSTRG.108994.8	Dlgap2	multi_exon	13	29010	1	1	1	7268	Yes	2428	Yes
MSTRG.15451.1	Olfr815	multi_exon	1	807	1	1	1	320	Yes	6	Yes
MSTRG.122268.7	Lonrf3	multi_exon	3	119	1	1	1	15	Yes	13	Yes
