replicate_1	replicate_2	intersection	union	jaccard
rep1	rep2	8833	9766	0.9044644685644071
rep1	rep3	8845	9815	0.9011716760061131
rep1	rep4	8813	9744	0.9044540229885057
rep2	rep3	8843	9804	0.9019787841697267
rep2	rep4	8819	9725	0.9068380462724935
rep3	rep4	8837	9768	0.9046887796887797
