gene_name	rep1_supported	rep1_TE_families	rep2_supported	rep2_TE_families	rep3_supported	rep3_TE_families	rep4_supported	rep4_TE_families	n_replicates	TE_families
Nelfa	1	B1_Mus1	1	ORR1A0	0		1	B1_Mus1	3	B1_Mus1;ORR1A0
Zfp352	0		1	(GAAA)n;ERVB7_1-LTR_MM;ETnERV-int;MT2B1	1	(GAAA)n;ERVB7_1-LTR_MM;ETnERV-int;MT2B1	1	(GAAA)n;ERVB7_1-LTR_MM;ETnERV-int;MT2B1	3	(GAAA)n;ERVB7_1-LTR_MM;ETnERV-int;MT2B1
Lmx1a	1	MT2_Mm	0		0		0		1	MT2_Mm
Cdk2ap1	1	MT2B2	1	B1F;ID;ID_B1	0		1	B3A;MT2B2	3	B1F;B3A;ID;ID_B1;MT2B2
Snai1	0		1	L1Md_T;MERVL-int;MT2_Mm;ORR1A3-int	0		0		1	L1Md_T;MERVL-int;MT2_Mm;ORR1A3-int
Pou6f2	0		0		0		0		0	
Fam172a	1	MT2_Mm	1	MT2_Mm	1	MT2_Mm	1	MT2_Mm	4	MT2_Mm
