replicate_1	replicate_2	intersection	union	jaccard
rep1	rep2	597	1732	0.3446882217090069
rep1	rep3	618	1987	0.3110216406643181
rep1	rep4	582	1781	0.32678270634475015
rep2	rep3	659	1957	0.3367399080224834
rep2	rep4	577	1797	0.32109070673344464
rep3	rep4	651	1999	0.32566283141570784
