mapping_scope	rep1_calls	rep1_transcripts	rep1_genes	rep2_calls	rep2_transcripts	rep2_genes	rep3_calls	rep3_transcripts	rep3_genes	rep4_calls	rep4_transcripts	rep4_genes	union_genes	at_least_2_reps	at_least_3_reps	all_4_reps	jaccard_rep1_rep2	jaccard_rep1_rep3	jaccard_rep1_rep4	jaccard_rep2_rep3	jaccard_rep2_rep4	jaccard_rep3_rep4
inclusive	860	860	696	841	841	686	866	866	711	774	774	626	1769	590	258	102	0.2154793315743184	0.2046232876712329	0.2062043795620438	0.21057192374350087	0.2036697247706422	0.21545454545454545
unambiguous	860	860	676	841	841	669	866	866	694	774	774	618	1726	579	252	100	0.21609403254972875	0.20598591549295775	0.20708955223880596	0.20619469026548673	0.20618556701030927	0.2181987000928505
