gene_name	final_candidate	n_calls	TE_families	rep1_supported	rep1_TE_families	rep2_supported	rep2_TE_families	rep3_supported	rep3_TE_families	rep4_supported	rep4_TE_families	n_replicates
Nelfa	1	16	MT2_Mm;MYSERV6-int	1	MT2_Mm	1	MT2_Mm	1	MT2_Mm	1	MT2_Mm;MYSERV6-int	4
Zfp352	1	4	MT2B1	1	MT2B1	1	MT2B1	1	MT2B1	1	MT2B1	4
Lmx1a	1	2	MERVL-int;MT2_Mm	1	MT2_Mm	1	MERVL-int	0		0		2
Cdk2ap1	1	5	MT2B2	0		0		1	MT2B2	1	MT2B2	2
Fam172a	1	7	MT2_Mm;MTA_Mm	1	MT2_Mm	1	MT2_Mm;MTA_Mm	1	MT2_Mm;MTA_Mm	1	MT2_Mm;MTA_Mm	4
Snai1	1	1	MT2_Mm	1	MT2_Mm	0		0		0		1
Pou5f1	0	0		0		0		0		0		0
