stage	truth_gene	pred_gene	TP	FP	FN	precision	recall	F1
FREDY_default	158	14	13	1	145	0.9285714285714286	0.08227848101265822	0.1511627906976744
MSTRG_TE50_preCDS	158	18	17	1	141	0.9444444444444444	0.10759493670886076	0.19318181818181818
all_transcript_TE50	158	300	147	153	11	0.49	0.930379746835443	0.6419213973799127
